Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA02,I,8220.17282,0.0,0.0,17.153141,0.026518
KMTA02,I,8220.18439,0.0,0.0,17.112304,0.022954
KMTA02,I,8220.20419,0.0,0.0,17.193603,0.024102
KMTA02,I,8220.21757,0.0,0.0,17.182639,0.024428
KMTA02,I,8220.22878,0.0,0.0,17.166863,0.020439
KMTA02,I,8220.24024,0.0,0.0,17.135123,0.019984
KMTA02,I,8220.25202,0.0,0.0,17.136761,0.018333
KMTA02,I,8220.27128,0.0,0.0,17.147407,0.018777
KMTA02,I,8220.28322,0.0,0.0,17.143926,0.018116
KMTA02,I,8220.29466,0.0,0.0,17.138706,0.019875
KMTA02,I,8220.30589,0.0,0.0,17.162869,0.019775
KMTA02,I,8220.31684,0.0,0.0,17.208773,0.033553
KMTA02,I,8221.10114,0.0,0.0,17.166146,0.019667
KMTA02,I,8221.11259,0.0,0.0,17.162254,0.020437
KMTA02,I,8221.12416,0.0,0.0,17.146281,0.019107
KMTA02,I,8221.13593,0.0,0.0,17.174955,0.020112
KMTA02,I,8221.14742,0.0,0.0,17.150786,0.018008
KMTA02,I,8221.16566,0.0,0.0,17.155803,0.01801
KMTA02,I,8221.17711,0.0,0.0,17.153448,0.016911
KMTA02,I,8221.18826,0.0,0.0,17.15355,0.016801
KMTA02,I,8221.19961,0.0,0.0,17.156929,0.019552
KMTA02,I,8221.21076,0.0,0.0,17.146383,0.018337
KMTA02,I,8221.22971,0.0,0.0,17.135737,0.020315
KMTA02,I,8221.24102,0.0,0.0,17.157237,0.023308
KMTA02,I,8221.25284,0.0,0.0,17.13717,0.029392
KMTA02,I,8221.26417,0.0,0.0,17.22682,0.042926
KMTA02,I,8221.29802,0.0,0.0,17.232769,0.066707
KMTA02,I,8221.30938,0.0,0.0,17.153653,0.054997
KMTA02,I,8223.09628,0.0,0.0,17.120898,0.029604
KMTA02,I,8223.10784,0.0,0.0,17.169014,0.023978
KMTA02,I,8223.11928,0.0,0.0,17.121717,0.02318
KMTA02,I,8223.13783,0.0,0.0,17.117522,0.02938
KMTA02,I,8223.14905,0.0,0.0,17.162254,0.024639
KMTA02,I,8223.16046,0.0,0.0,17.183971,0.044221
KMTA02,I,8223.17173,0.0,0.0,17.26037,0.048876
KMTA02,I,8223.18281,0.0,0.0,17.135226,0.033943
KMTA02,I,8223.20389,0.0,0.0,17.160001,0.040636
KMTA02,I,8223.21515,0.0,0.0,17.122638,0.017668
KMTA02,I,8223.22976,0.0,0.0,17.176697,0.024758
KMTA02,I,8223.24081,0.0,0.0,17.151195,0.025408
KMTA02,I,8223.2522,0.0,0.0,17.119773,0.029492
KMTA02,I,8223.26323,0.0,0.0,17.083975,0.032132
KMTA02,I,8223.28217,0.0,0.0,17.127345,0.027279
KMTA02,I,8223.28507,0.0,0.0,17.147202,0.025074
KMTA02,I,8223.2966,0.0,0.0,17.13236,0.024291
KMTA02,I,8223.30797,0.0,0.0,17.155701,0.025079
KMTA02,I,8223.31931,0.0,0.0,17.11169,0.032816
KMTA02,I,8224.09057,0.0,0.0,17.138603,0.016905
KMTA02,I,8224.10213,0.0,0.0,17.1642,0.020328
KMTA02,I,8224.12045,0.0,0.0,17.155086,0.01867
KMTA02,I,8224.132,0.0,0.0,17.166966,0.018455
KMTA02,I,8224.1452,0.0,0.0,17.118136,0.022846
KMTA02,I,8224.15695,0.0,0.0,17.161128,0.015379
KMTA02,I,8224.1685,0.0,0.0,17.134304,0.015371
KMTA02,I,8224.18705,0.0,0.0,17.162971,0.020327
KMTA02,I,8224.2002,0.0,0.0,17.124275,0.019098
KMTA02,I,8224.21412,0.0,0.0,17.146179,0.018227
KMTA02,I,8224.22573,0.0,0.0,17.162152,0.024639
KMTA02,I,8224.23703,0.0,0.0,17.164303,0.021432
KMTA02,I,8224.25633,0.0,0.0,17.140651,0.020207
KMTA02,I,8224.27043,0.0,0.0,17.141879,0.020759
KMTA02,I,8224.28201,0.0,0.0,17.193398,0.024102
KMTA02,I,8224.29357,0.0,0.0,17.158158,0.025412
KMTA02,I,8224.30523,0.0,0.0,17.200265,0.027211
KMTA02,I,8225.10096,0.0,0.0,17.139832,0.020758
KMTA02,I,8225.11269,0.0,0.0,17.14751,0.02718
KMTA02,I,8225.12446,0.0,0.0,17.116601,0.035041
KMTA02,I,8225.13653,0.0,0.0,17.154881,0.043191
KMTA02,I,8225.14796,0.0,0.0,17.127857,0.042165
KMTA02,I,8225.16537,0.0,0.0,17.123252,0.037824
KMTA02,I,8225.18427,0.0,0.0,17.077227,0.037122
KMTA02,I,8225.19881,0.0,0.0,17.114555,0.03415
KMTA02,I,8225.21048,0.0,0.0,17.099313,0.036139
KMTA02,I,8225.22212,0.0,0.0,17.179565,0.041321
KMTA02,I,8225.23584,0.0,0.0,17.100541,0.05872
KMTA02,I,8225.25446,0.0,0.0,17.148226,0.065244
KMTA02,I,8225.27121,0.0,0.0,17.115885,0.048719
KMTA02,I,8225.28367,0.0,0.0,17.128164,0.050179
KMTA02,I,8225.29537,0.0,0.0,17.150683,0.043855
KMTA02,I,8225.30868,0.0,0.0,17.029712,0.066533
KMTA02,I,8226.08891,0.0,0.0,17.318402,0.171218
KMTA02,I,8226.10016,0.0,0.0,17.106985,0.182325
KMTA02,I,8226.11188,0.0,0.0,17.031142,0.326655
KMTA02,I,8226.12296,0.0,0.0,17.014905,0.392216
KMTA02,I,8227.28921,0.0,0.0,17.172702,0.029414
KMTA02,I,8227.30055,0.0,0.0,17.174443,0.045215
KMTA02,I,8227.3116,0.0,0.0,17.150479,0.022309
KMTA02,I,8228.13549,0.0,0.0,17.154062,0.015815
KMTA02,I,8228.14678,0.0,0.0,17.130313,0.016245
KMTA02,I,8228.16537,0.0,0.0,17.129494,0.016244
KMTA02,I,8228.17628,0.0,0.0,17.117522,0.016021
KMTA02,I,8228.18754,0.0,0.0,17.162869,0.016695
KMTA02,I,8228.19891,0.0,0.0,17.169629,0.018676
KMTA02,I,8228.2103,0.0,0.0,17.141674,0.016907
KMTA02,I,8228.22888,0.0,0.0,17.148738,0.014284
KMTA02,I,8228.24176,0.0,0.0,17.130722,0.013843
KMTA02,I,8228.26443,0.0,0.0,17.134714,0.014716
KMTA02,I,8228.27567,0.0,0.0,17.142903,0.015264
KMTA02,I,8228.30197,0.0,0.0,17.136761,0.033722
KMTA02,I,8229.08383,0.0,0.0,17.110565,0.018103
KMTA02,I,8229.09525,0.0,0.0,17.115476,0.016678
KMTA02,I,8229.10654,0.0,0.0,17.152424,0.021095
KMTA02,I,8229.11824,0.0,0.0,17.143926,0.017896
KMTA02,I,8229.13649,0.0,0.0,17.124173,0.01395
KMTA02,I,8229.14784,0.0,0.0,17.138399,0.013302
KMTA02,I,8229.16228,0.0,0.0,17.139422,0.018224
KMTA02,I,8229.1735,0.0,0.0,17.143619,0.01603
KMTA02,I,8229.18463,0.0,0.0,17.130415,0.014278
KMTA02,I,8229.19542,0.0,0.0,17.12888,0.022299
KMTA02,I,8229.21473,0.0,0.0,17.166044,0.017465
KMTA02,I,8229.22581,0.0,0.0,17.147612,0.020982
KMTA02,I,8229.2429,0.0,0.0,17.165737,0.015162
KMTA02,I,8229.25614,0.0,0.0,17.14669,0.023745
KMTA02,I,8229.26865,0.0,0.0,17.135226,0.018883
KMTA02,I,8229.289,0.0,0.0,17.144848,0.021865
KMTA02,I,8229.30027,0.0,0.0,17.136147,0.018223
KMTA02,I,8230.07847,0.0,0.0,17.098598,0.023169
KMTA02,I,8230.08962,0.0,0.0,17.149148,0.021425
KMTA02,I,8230.10063,0.0,0.0,17.135226,0.019213
